,DATE,TIME,ENTRY/EXIT
0,10/01/20,15:43:15,ENTRY
1,10/01/20,15:44:04,EXIT
2,11/01/20,14:33:08,ENTRY
3,11/01/20,15:12:34,EXIT
4,11/01/20,15:19:16,ENTRY
5,11/01/20,17:36:57,EXIT
6,11/01/20,17:37:02,ENTRY
7,11/01/20,17:41:41,EXIT
8,11/01/20,17:41:47,ENTRY
